observation_date,M0516BUSM163SNBR
1948-01-01,1.38
1948-02-01,1.41
1948-03-01,1.42
1948-04-01,1.41
1948-05-01,1.42
1948-06-01,1.42
1948-07-01,1.42
1948-08-01,1.43
1948-09-01,1.44
1948-10-01,1.46
1948-11-01,1.48
1948-12-01,1.47
1949-01-01,1.52
1949-02-01,1.54
1949-03-01,1.54
1949-04-01,1.53
1949-05-01,1.55
1949-06-01,1.53
1949-07-01,1.54
1949-08-01,1.51
1949-09-01,1.49
1949-10-01,1.54
1949-11-01,1.51
1949-12-01,1.50
1950-01-01,1.48
1950-02-01,1.44
1950-03-01,1.43
1950-04-01,1.42
1950-05-01,1.39
1950-06-01,1.34
1950-07-01,1.22
1950-08-01,1.23
1950-09-01,1.33
1950-10-01,1.39
1950-11-01,1.46
1950-12-01,1.39
1951-01-01,1.38
1951-02-01,1.43
1951-03-01,1.48
1951-04-01,1.54
1951-05-01,1.56
1951-06-01,1.59
1951-07-01,1.64
1951-08-01,1.62
1951-09-01,1.63
1951-10-01,1.62
1951-11-01,1.62
1951-12-01,1.64
1952-01-01,1.63
1952-02-01,1.62
1952-03-01,1.63
1952-04-01,1.61
1952-05-01,1.58
1952-06-01,1.58
1952-07-01,1.61
1952-08-01,1.58
1952-09-01,1.55
1952-10-01,1.52
1952-11-01,1.54
1952-12-01,1.52
1953-01-01,1.55
1953-02-01,1.53
1953-03-01,1.52
1953-04-01,1.54
1953-05-01,1.55
1953-06-01,1.57
1953-07-01,1.56
1953-08-01,1.60
1953-09-01,1.62
1953-10-01,1.62
1953-11-01,1.65
1953-12-01,1.67
1954-01-01,1.65
1954-02-01,1.62
1954-03-01,1.63
1954-04-01,1.60
1954-05-01,1.62
1954-06-01,1.60
1954-07-01,1.60
1954-08-01,1.60
1954-09-01,1.60
1954-10-01,1.58
1954-11-01,1.54
1954-12-01,1.51
1955-01-01,1.49
1955-02-01,1.48
1955-03-01,1.47
1955-04-01,1.45
1955-05-01,1.46
1955-06-01,1.47
1955-07-01,1.47
1955-08-01,1.49
1955-09-01,1.46
1955-10-01,1.48
1955-11-01,1.48
1955-12-01,1.49
1956-01-01,1.51
1956-02-01,1.54
1956-03-01,1.54
1956-04-01,1.54
1956-05-01,1.55
1956-06-01,1.55
1956-07-01,1.63
1956-08-01,1.58
1956-09-01,1.57
1956-10-01,1.56
1956-11-01,1.56
1956-12-01,1.55
1957-01-01,1.55
1957-02-01,1.54
1957-03-01,1.56
1957-04-01,1.59
1957-05-01,1.59
1957-06-01,1.58
1957-07-01,1.58
1957-08-01,1.58
1957-09-01,1.61
1957-10-01,1.61
1957-11-01,1.62
1957-12-01,1.65
1958-01-01,1.65
1958-02-01,1.67
1958-03-01,1.68
1958-04-01,1.66
1958-05-01,1.64
1958-06-01,1.61
1958-07-01,1.59
1958-08-01,1.56
1958-09-01,1.56
1958-10-01,1.55
1958-11-01,1.52
1958-12-01,1.52
1959-01-01,1.51
1959-02-01,1.49
1959-03-01,1.48
1959-04-01,1.47
1959-05-01,1.46
1959-06-01,1.48
1959-07-01,1.49
1959-08-01,1.54
1959-09-01,1.54
1959-10-01,1.54
1959-11-01,1.55
1959-12-01,1.52
1960-01-01,1.50
1960-02-01,1.52
1960-03-01,1.55
1960-04-01,1.54
1960-05-01,1.57
1960-06-01,1.57
1960-07-01,1.58
1960-08-01,1.59
1960-09-01,1.58
1960-10-01,1.59
1960-11-01,1.61
1960-12-01,1.59
1961-01-01,1.61
1961-02-01,1.60
1961-03-01,1.57
1961-04-01,1.58
1961-05-01,1.56
1961-06-01,1.53
1961-07-01,1.55
1961-08-01,1.52
1961-09-01,1.52
1961-10-01,1.50
1961-11-01,1.50
1961-12-01,1.50
1962-01-01,1.50
1962-02-01,1.51
1962-03-01,1.50
1962-04-01,1.50
1962-05-01,1.51
1962-06-01,1.53
1962-07-01,1.53
1962-08-01,1.52
1962-09-01,1.52
1962-10-01,1.52
1962-11-01,1.50
1962-12-01,1.53
1963-01-01,1.53
1963-02-01,1.50
1963-03-01,1.51
1963-04-01,1.50
1963-05-01,1.50
1963-06-01,1.50
1963-07-01,1.48
1963-08-01,1.50
1963-09-01,1.50
1963-10-01,1.48
1963-11-01,1.51
1963-12-01,1.48
1964-01-01,1.47
1964-02-01,1.48
1964-03-01,1.49
1964-04-01,1.48
1964-05-01,1.47
1964-06-01,1.48
1964-07-01,1.46
1964-08-01,1.47
1964-09-01,1.46
1964-10-01,1.48
1964-11-01,1.48
1964-12-01,1.45
1965-01-01,1.46
1965-02-01,1.46
1965-03-01,1.45
1965-04-01,1.45
1965-05-01,1.46
1965-06-01,1.47
1965-07-01,1.45
1965-08-01,1.46
1965-09-01,1.48
1965-10-01,1.45
1965-11-01,1.44
1965-12-01,1.45
1966-01-01,1.43
1966-02-01,1.44
1966-03-01,1.43
1966-04-01,1.45
1966-05-01,1.48
1966-06-01,1.47
1966-07-01,1.50
1966-08-01,1.49
1966-09-01,1.50
1966-10-01,1.51
1966-11-01,1.54
1966-12-01,1.56
1967-01-01,1.57
1967-02-01,1.59
1967-03-01,1.59
1967-04-01,1.59
1967-05-01,1.59
1967-06-01,1.57
1967-07-01,1.59
1967-08-01,1.57
1967-09-01,1.57
1967-10-01,1.59
1967-11-01,1.57
1967-12-01,1.56
1968-01-01,1.55
1968-02-01,1.54
1968-03-01,1.54
1968-04-01,1.55
1968-05-01,1.54
1968-06-01,1.52
1968-07-01,1.52
1968-08-01,1.54
1968-09-01,1.52
1968-10-01,1.53
1968-11-01,1.53
1968-12-01,1.56
1969-01-01,1.54
1969-02-01,1.53
1969-03-01,1.54
1969-04-01,1.54
1969-05-01,1.54
1969-06-01,1.53
1969-07-01,1.55
1969-08-01,1.54
