Year,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP
1928,0.40731155152887893,0.4297568429390796,0.16098844847112104,0.4059160368265545,
1929,-0.1145794661190966,-0.12501750768230085,-0.3831205338809034,-0.11315802851813703,
1930,-0.29673636363636363,-0.29664567798533403,-0.24906363636363632,-0.25663417310118747,
1931,-0.4614754889178619,-0.41278692929843935,-0.008224511082138064,-0.28156773809118596,
1932,-0.09712364532019696,-0.17432671522497023,0.29132364532019694,-0.32231966207759893,
1933,0.49022225433526023,0.48126953344340284,0.9835777456647399,0.37015331735977763,
1934,-0.014668990304246137,-0.0915200831505689,0.21198565697091282,-0.2000499496557393,
1935,0.46572921052631583,0.42268373322974967,0.06439578947368424,0.33432689186952413,
1936,0.3177091027550261,0.2692553487095755,0.6087658972449739,0.20559594403579906,
1937,-0.3561256208769887,-0.36715874814011573,-0.17943271245634468,-0.30920537070367277,
1938,0.2921765402843602,0.2506940549623141,-0.27682654028436016,0.20046772314748595,
1939,-0.011433980213089777,-0.05509826082181711,-0.046324353120243564,-0.09080702453321784,
1940,-0.10708706527554848,-0.16075354790506066,-0.21137126805778483,-0.1932101037180447,
1941,-0.12900622243226217,-0.10749257991701541,0.0723145557655955,-0.17778628433835475,
1942,0.18831262945914842,0.16878894708466427,0.4261623705408516,0.1399386190325614,
1943,0.24681310133060394,0.22571310133060393,1.129086898669396,0.1701664007295447,
1944,0.1865067694944301,0.16453065791535978,0.50699323050557,0.1246481336118684,
1945,0.354410843373494,0.3201666699542568,0.552689156626506,0.29021218859531517,
1946,-0.0880914746543778,-0.11557522003007349,-0.0689085253456222,-0.10937180442757374,
1947,0.04599166666666667,0.042803031937167765,-0.061599999999999995,0.049378797733430804,
1948,0.04659575163398683,0.03753538222081179,-0.06414575163398684,0.02267615602888362,
1949,0.17188223684210527,0.13639738501413212,0.08916776315789474,0.12925922566244633,
1950,0.2960220567798293,0.30375943269605304,0.21974460988683742,0.2656672170564417,
1951,0.2216096304454234,0.23973776966625537,-0.1975846304454234,0.23869443957556036,
1952,0.16428488641144307,0.1588299244931374,-0.16960988641144306,0.1370974713640423,
1953,-0.030990380755237797,-0.05352045001099298,-0.04591795257809553,-0.02828317124034774,
1954,0.516258012414349,0.4927351778562535,0.113366787585651,0.4640541605966412,
1955,0.30872989221546276,0.33933770979890227,-0.05507331851028352,0.3055264184668339,
1956,0.04818122984462046,0.09695285690666351,-0.08429511873350934,0.09792166071313024,
1957,-0.13681927117691817,-0.17254373035182952,-0.0479263981144204,-0.09738431748303723,
1958,0.4195340880400823,0.4581897316427465,0.25630045011252806,0.3728986209141116,
1959,0.08670441227302345,0.1470308842269583,0.006835428364426757,0.10482114074055052,
1960,-0.025364365728065056,-0.1130296837621967,-0.038265353147436953,-0.06326651848559739,0.061119788031217315
1961,0.24285222998343395,0.24576792150550436,0.03192287041817249,0.21537712958182753,0.06617359182997262
1962,-0.11583829995032535,-0.14505004571129348,-0.009485394828791113,-0.15306788510727465,0.05968346537898994
1963,0.1945590300345597,0.20927765025886902,-0.026819270998415135,0.1714744652865528,0.06361899391151482
1964,0.12869718826639598,0.12687390987278344,0.06734544121567573,0.11253716606147399,0.06526777744265821
1965,0.08450166172655231,0.11680387384283492,0.3326075752212388,0.09209233015622234,0.06661794168987445
1966,-0.14826674235637788,-0.12878895168067753,0.004809542356377899,-0.06525592638060153,0.061123719679815336
1967,0.19509512697872283,0.25383587506415795,0.9298703348686669,0.22907739898288645,0.06573283877673952
1968,0.05477262651601535,0.07540242956524698,0.4988513734839846,0.059697164272917894,0.06596627828748769
1969,-0.14909838818384546,-0.03227321755456453,-0.24808628923550932,-0.06216206825656917,0.06333387273419877
1970,-0.028298550945035805,-0.1319359227791592,-0.2256114490549642,-0.02088422751492454,0.05897256666631501
1971,0.09886893270314023,0.04434253678714177,0.02268849701573525,0.002196841242065345,0.05866063680987854
1972,0.14693522915074925,0.15936913864629956,-0.18495362915074925,0.07346269335685227,0.06080430372818957
1973,-0.21343490985913569,-0.1796671203994148,-0.2432195256247353,-0.18626087922958828,0.054960045718843054
1974,-0.3374756888342709,-0.2789039444413483,-0.009082142491030287,-0.21521065953177804,0.046417018581159875
1975,0.3120875156401568,0.33389883503580975,0.22354862893815647,0.25945173032039404,0.051706756781676244
1976,0.18854399002106662,0.07846438259197452,0.24679000997893336,0.04078185015008648,0.05219658803895011
1977,-0.12240667931356919,-0.08269664683042277,0.37649704075935236,-0.1693436692802587,0.04926676135704655
1978,-0.0066902253994097355,0.07286864602422795,0.2281071608832807,0.03371698934502844,0.04974189891320324
1979,0.08465215973967999,0.17848769855044033,0.2345050983248361,0.20528600311177922,0.052132252828986925
1980,0.20343365506763011,0.34724989758762415,0.10674754493236988,0.35050923843954057,0.05731870525758964
1981,-0.187385749864514,-0.12901605583387932,0.005623902474955762,-0.13164789728386783,0.05373099046864449
1982,0.09815641424940878,-0.12395494406736232,0.06690944920440647,-0.08633400576349307,0.05103868869213968
1983,0.1371951585893062,0.19136946413787692,0.1352284414106938,0.061428662361322744,0.05340283065456397
1984,-0.03394139124861783,-0.07587222344466135,-0.2066614199963621,-0.09473065332818006,0.05121212631805139
1985,0.23764020453510884,0.05522661273162538,-0.06095149485768947,0.07372507635852471,0.05128436510258161
1986,0.12525298758046188,-0.057896363837214304,-0.16334578758046187,-0.02859481359700211,0.04966356559973906
1987,0.0003536164182187107,0.107732305797481,-0.1984272164182187,0.03000136286276043,0.05069359043750721
1988,0.09868752812044687,0.0831359696856052,0.008328071879553145,0.02154907632569031,0.051199933578993884
1989,0.23363623638196723,0.13781536478750506,-0.24525183638196724,0.15526208736839475,0.05240982169336883
1990,-0.10560931612903211,-0.09299826946456548,-0.24855548387096787,-0.0934516817485107,0.049979953137364364
1991,0.24859243134879758,0.15230333115362454,0.16035156865120248,0.11306800260929717,0.0513850639844049
1992,0.04062413231344207,-0.018679093438278782,0.18016272027619934,-0.03811516577065864,0.050319857010869606
1993,0.0696993147919488,-0.04243906110068227,0.15762948520805123,-0.05505399203810954,0.04897593793175847
1994,-0.02926328318526546,0.09362576228455982,-0.06335920677457389,0.022941902153428253,0.0497186361717199
1995,0.3170559890260631,0.137144187900674,-0.04925198902606304,0.15907942378763365,0.05079145111941363
1996,0.17675569193468962,0.21252358225463946,-0.08050966018865788,0.19265276662635886,0.05304503967737495
1997,0.28041573103653095,0.23164522830675566,-0.10933653103653096,0.20349490378651258,0.05531558490330357
1998,0.23561993278443583,0.13416521355837369,-0.41797953278443584,0.2071047764916186,0.056306048135548625
1999,0.16246944617582484,0.2913956578835305,0.17354649007915526,0.199784964883221,0.05963469481832018
2000,-0.14851619752062029,-0.25687086080646765,-0.0025818104475072157,-0.18419633607058736,0.055111895842923087
2001,-0.15249113980709864,-0.17421940331249441,0.43989759142000184,-0.20388508060302107,0.051665345512908356
2002,-0.23571367957912698,-0.37082448336021984,0.183860479579127,-0.3410970628557983,0.045325449773477855
2003,0.2734744005001023,0.27980481461832646,0.6355419994998976,0.1603942154317689,0.048237796117156506
2004,0.09368135944096193,0.06252092241821647,0.06747224055903804,0.003968514751614777,0.04842299846885445
2005,0.016853175232688533,0.01966944563490903,-0.009044775232688533,-0.004639073602496553,0.04804218940225513
2006,0.10882557979315702,0.13651556737558865,0.02857442020684295,0.10416096971653639,0.04914903600480591
2007,0.011227830551867102,-0.04725186683591037,-0.1463473524642177,0.00640159810669251,0.047948712238125024
2008,-0.37923658852834047,-0.5665362403877521,-0.08287655888201811,-0.3301203424465355,0.0387958688686898
2009,0.25784713877663984,0.37051929190923144,0.21544766122336012,0.05725584299780867,0.04286850613334847
2010,0.1468264606357997,0.06358158398363642,0.13418907721280585,0.05410595170206149,0.04310851643347546
2011,0.020455347336280502,-0.13936960265833304,-0.16248374733628052,-0.10164536585756272,0.04097042900424852
2012,0.15802985241730294,0.12919013263711346,0.028394147582697066,0.06563521896251176,0.041988275684727405
2013,0.32088005858125485,0.41249654652472745,0.1853491414187452,0.33127874956293496,0.04617680941872315
2014,0.13491701649462237,0.027782411974574817,-0.11934421649462237,0.027426464227373243,0.04597502937583342
2015,0.013268597686576535,0.0009459197018839138,-0.10588891641167615,0.028797448206105608,0.0454344573137655
2016,0.11456960874798171,0.11082530404923392,0.05726919125201828,0.002486069642919711,0.046176501247687796
2017,0.2067136143449928,0.18803765163720335,-0.06135481434499279,0.12371576377244525,0.047686840373502015
2018,-0.061631745099720775,-0.042101769033751416,-0.12033130710911458,-0.009574496052523092,0.04660866909463257
2019,0.29149199996808756,0.21576049255260363,-0.18941679996808758,0.1596391422153028,0.04825368440680444
2020,0.17668460791565904,0.06691304180808358,0.16706798172577517,0.07422014354542011,0.0484426634144246
2021,0.28423831831645435,0.3288488620056863,-0.06778851751964157,0.2753540717997663,0.051322006296357525
2022,-0.20062285043644448,-0.002093343889279148,-0.05342494072821413,-0.02893427373624327,0.05060942016976089
2023,0.20990323539240963,0.22180684985024096,-0.20890684985024097,0.17325012783658253,0.052277478113130105
2024,0.19908611262526726,0.26515791406189704,-0.16258611262526726,0.23142255658748215,0.05439470656534162
